id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords,release_year,release_month,release_day,text,processed_text
754784,Silent,0.0,0,Released,2021-04-15,0,38,False,,10000,https://dancinkc.com/silent-2021,tt12819070,en,Silent,A story about a curious boy who uses his imagination to explore the great outdoors and his home.,1.149,https://image.tmdb.org/t/p/w780/hClzbPP32hDMNJtDMos75Dcle1j.jpg,An Experiment in Black and White,"Drama, Family","DancinKC Films LLC, Zac's Follies LLC, Boys Dance Studio",United States of America,English,short film,2021,4,15,A story about a curious boy who uses his imagination to explore the great outdoors and his home. An Experiment in Black and White short film,story curious boy uses imagination explore great outdoors experiment black white short film
754785,Who Wants Dessert?,0.0,0,Released,2020-08-29,0,7,False,,25000,,tt11079940,en,Who Wants Dessert?,"Annie has the perfect family and life. When her therapist stops by her house unexpectedly and discovers Annie's secret, she  discovers just how far Annie will go to maintain her tenuous house of cards reality.",0.606,https://image.tmdb.org/t/p/w780/hiJ1nFK6l2FY4MiObNksCdP1p9.jpg,How far would you go to keep your family alive...even if they're dead?,"Thriller, Horror",Wanderlust Films {US},,,,2020,8,29,"Annie has the perfect family and life. When her therapist stops by her house unexpectedly and discovers Annie's secret, she  discovers just how far Annie will go to maintain her tenuous house of cards reality. How far would you go to keep your family alive...even if they're dead? ",annie perfect family therapist stops house unexpectedly discovers secret discovers far annie maintain tenuous house cards far would keep family alive...even
754786,Jane Bond,0.0,0,Released,1975-02-15,0,59,True,,0,,tt0141420,en,Jane Bond,Secret agent Jane Bond is assigned to break up a heroin-smuggling ring operating out of Hong Kong.,0.6,https://image.tmdb.org/t/p/w780/3l6S6ImRPRLL5l4j7qk8OrXiFPV.jpg,A new kind of thrill!,Crime,,United States of America,,,1975,2,15,Secret agent Jane Bond is assigned to break up a heroin-smuggling ring operating out of Hong Kong. A new kind of thrill! ,secret agent jane bond assigned break ring operating hong new kind
754789,Jessie St. James Fantasies,0.0,0,Released,1981-01-01,0,55,True,,0,,tt4352470,en,Jessie St. James Fantasies,Compilation showcase of Jessie St. James scenes,0.6,https://image.tmdb.org/t/p/w780/cECiTJFJWFtdcEDboZWH5DVfrMf.jpg,,,,United States of America,,,1981,1,1,Compilation showcase of Jessie St. James scenes  ,compilation showcase jessie james scenes
754790,Dear Santa,0.0,0,Released,1952-10-01,0,12,False,,0,,,en,Dear Santa,"Dear Santa,  A thriller",0.6,https://image.tmdb.org/t/p/w780/vcNRAyeZdDFJD70QfYPNFeIAucJ.jpg,,,,,,,1952,10,1,"Dear Santa,  A thriller  ",dear santa thriller
754791,Lacuna,0.0,0,Released,2020-10-23,0,4,False,/KHyM89W2RSJnTpbDvWFaa6YEcZ.jpg,0,,,de,Lakune,"The portrait of two young women – a loving team that complements each other with all their habits and rituals like two puzzle pieces. This is a declaration of love of a couple – a snapshot of their present and a speculation about our future, because what could happen if a piece of the puzzle is suddenly taken away?",0.626,https://image.tmdb.org/t/p/w780/4yd59Evjv5w6uzLUoOGwwoLykRE.jpg,What do you like about me?,"Romance, Science Fiction",,,German,"future, artificial intelligence (a.i.), loss of loved one, poem, nostalgia, loss, love, relationship, seeing the future, speculative, pov (point of view), future vision",2020,10,23,"The portrait of two young women – a loving team that complements each other with all their habits and rituals like two puzzle pieces. This is a declaration of love of a couple – a snapshot of their present and a speculation about our future, because what could happen if a piece of the puzzle is suddenly taken away? What do you like about me? future, artificial intelligence (a.i.), loss of loved one, poem, nostalgia, loss, love, relationship, seeing the future, speculative, pov (point of view), future vision",portrait two young women loving team complements habits rituals like two puzzle declaration love couple snapshot present speculation future could happen piece puzzle suddenly taken like future artificial intelligence (a.i.) loss loved one poem nostalgia loss love relationship seeing future speculative pov future vision
754792,Inside Out,0.0,0,Released,1978-10-01,0,5,False,,0,,,en,Inside Out,"A home movie of Norwich, Vermont",0.6,https://image.tmdb.org/t/p/w780/uPlHCWfrMUVlW4QHx3iE9qjd80e.jpg,,,,,,,1978,10,1,"A home movie of Norwich, Vermont  ",home movie norwich vermont
754797,My Life in Houses,0.0,0,Released,2014-10-01,0,13,False,,0,,,en,My Life in Houses,"A Journey through life, through houses",0.6,https://image.tmdb.org/t/p/w780/eM7aH7aggWGXdWIZ0HLqhwAxVKv.jpg,,,,,,,2014,10,1,"A Journey through life, through houses  ",journey life houses
754799,Carpaccio,0.0,0,Released,1948-07-13,0,15,False,,0,,tt0161381,en,Carpaccio,Carpaccio is a 1947 short film directed by Umberto Barbaro and Roberto Longhi and based on the life of the Italian painter Vittore Carpaccio.,0.6,https://image.tmdb.org/t/p/w780/8mx92zfu302ZLabzw0KyoDwrWO3.jpg,Carpaccio,Documentary,,,,,1948,7,13,Carpaccio is a 1947 short film directed by Umberto Barbaro and Roberto Longhi and based on the life of the Italian painter Vittore Carpaccio. Carpaccio ,carpaccio short film directed umberto barbaro roberto longhi based life italian painter vittore carpaccio
754761,Pound,0.0,0,Released,2007-01-01,0,2,False,,0,,tt1204792,en,Pound,How to greet with cred.,0.6,https://image.tmdb.org/t/p/w780/ip5jgyt9VFVfgr2uc448aYKdXjb.jpg,,Comedy,,United States of America,English,,2007,1,1,How to greet with cred.  ,greet
754758,The Mystic,0.0,0,Released,2012-01-11,0,8,False,,0,,,en,The Mystic,"The effects in The Mystic were originally created in-camera on one 100ft roll of color negative film. These include: bi-packing with a strip of clear leader sewn with sequins, creating paper mattes of circles and text, and multiple exposures with more custom mattes, photographed with one actor (Aj Cesena) on a simple set. These processes required six passes through the camera. The roll was then rephotographed on an optical printer and extended to its current run time of 8 minutes. The soundtrack is made up of chopped and manipulated laugh tracks and audience sounds.",0.6,https://image.tmdb.org/t/p/w780/oiZeax2xzTYGOVAeuAu7LCGBxA6.jpg,"The Mystic is sitting across from himself and gazing into a crystal ball. If you get what you want, will you be alright?",Horror,,,No Language,,2012,1,11,"The effects in The Mystic were originally created in-camera on one 100ft roll of color negative film. These include: bi-packing with a strip of clear leader sewn with sequins, creating paper mattes of circles and text, and multiple exposures with more custom mattes, photographed with one actor (Aj Cesena) on a simple set. These processes required six passes through the camera. The roll was then rephotographed on an optical printer and extended to its current run time of 8 minutes. The soundtrack is made up of chopped and manipulated laugh tracks and audience sounds. The Mystic is sitting across from himself and gazing into a crystal ball. If you get what you want, will you be alright? ",effects mystic originally created one roll color negative strip clear leader sewn sequins creating paper mattes circles text multiple exposures custom mattes photographed one actor simple processes required six passes roll rephotographed optical printer extended current run time soundtrack made chopped manipulated laugh tracks audience mystic sitting across gazing crystal get want
754740,Sea Breeze: Unfaithful Woman,0.0,0,Released,2020-09-11,0,90,False,/dAXzOV4szgfaEJfoE8B3iViR8Hm.jpg,0,,,ko,해풍 : 바람난 여자,"Seong-hye of Room Salon Ace Inn is tired of the rich men who always run at her. One day, she feels shaken by the appearance of innocent Jae-min, but due to interruption of Dong-cheol who admires Seong-hye, she gradually falls into a deep pit.",2.651,https://image.tmdb.org/t/p/w780/oJLFTUK639IItc8nbffKB1gQuuj.jpg,,Drama,,South Korea,Korean,softcore,2020,9,11,"Seong-hye of Room Salon Ace Inn is tired of the rich men who always run at her. One day, she feels shaken by the appearance of innocent Jae-min, but due to interruption of Dong-cheol who admires Seong-hye, she gradually falls into a deep pit.  softcore",room salon ace inn tired rich men always run one day feels shaken appearance innocent due interruption admires gradually falls deep softcore
754728,La Madrina: The Savage Life of Lorine Padilla,0.0,0,Released,2020-04-15,0,82,False,/ln9vZj8cm8TepAu0HLf1gwTYYbO.jpg,0,https://www.lamadrinadoc.com,tt11905748,en,La Madrina: The Savage Life of Lorine Padilla,"A documentary about a beloved South Bronx matriarch and former ""First Lady"" of the Savage Skulls gang struggling to remain visible in a rapidly gentrifying community she helped rebuild in the 1980s. With one foot firmly grounded in the outlaw life and the other as an activist and spiritual advisor, Lorine Padilla straddles the complexities of multiple worlds.",1.232,https://image.tmdb.org/t/p/w780/i30jaRekw9O4S0jheF6U8q4n7oT.jpg,,Documentary,,United States of America,English,"street gang, woman director",2020,4,15,"A documentary about a beloved South Bronx matriarch and former ""First Lady"" of the Savage Skulls gang struggling to remain visible in a rapidly gentrifying community she helped rebuild in the 1980s. With one foot firmly grounded in the outlaw life and the other as an activist and spiritual advisor, Lorine Padilla straddles the complexities of multiple worlds.  street gang, woman director",documentary beloved south bronx matriarch former savage skulls gang struggling remain visible rapidly gentrifying community helped rebuild one foot firmly grounded outlaw life activist spiritual advisor lorine padilla straddles complexities multiple street gang woman director
