title,cluster
To All the Boys I've Loved Before,4
Hotel Transylvania,1
War for the Planet of the Apes,1
Minority Report,1
Dallas Buyers Club,0
Doctor Strange in the Multiverse of Madness,1
Mean Girls,4
Sicario,0
Oldboy,1
After,1
About Time,1
"Crazy, Stupid, Love.",1
The Conjuring 2,3
Spotlight,1
Shaun of the Dead,1
"The Good, the Bad and the Ugly",1
Argo,0
Top Gun,1
Source Code,1
The Suicide Squad,2
Twelve Monkeys,3
Free Guy,1
12 Angry Men,4
Luca,2
Fast Five,0
Bad Boys for Life,1
Top Gun Maverick,1
Sin City,1
The Help,4
Mission Impossible - Fallout,1
Apocalypse Now,0
The Breakfast Club,1
Sing,1
Wonder,1
Pride & Prejudice,1
10 Things I Hate About You,4
Pretty Woman,4
The Little Mermaid,2
Fargo,0
Predator,3
Groundhog Day,1
The Exorcist,3
The Terminal,1
The Lego Movie,2
The Nice Guys,1
Princess Mononoke,2
Don't Look Up,4
Nocturnal Animals,3
Scott Pilgrim vs. the World,1
Batman,3
Maze Runner The Death Cure,1
Rocky,4
The Bourne Ultimatum,1
The Secret Life of Walter Mitty,1
BlacKkKlansman,3
127 Hours,0
Blood Diamond,3
Ralph Breaks the Internet,2
The Bourne Supremacy,1
Ford v Ferrari,4
Coraline,0
Creed,3
Hot Fuzz,1
The Kissing Booth,1
Don't Breathe,0
The Butterfly Effect,3
Hereditary,1
Snow White and the Seven Dwarfs,2
Hercules,2
Hugo,1
Grease,1
The Super Mario Bros. Movie,2
Juno,4
Lost in Translation,1
City of God,0
Big Fish,0
Train to Busan,1
8 Mile,3
Sully,1
F9,1
Moonlight,0
Superbad,1
Rush,1
Nerve,3
Heat,3
The Boy in the Striped Pyjamas,1
Constantine,1
Little Miss Sunshine,4
Children of Men,0
Marriage Story,0
The Girl with the Dragon Tattoo,3
Brokeback Mountain,0
Captain Phillips,3
Bridge of Spies,1
Puss in Boots The Last Wish,2
Seven Pounds,1
The Last Samurai,0
Raya and the Last Dragon,1
mother!,2
Cinderella,4
Tarzan,2
Hachi A Dog's Tale,1
The Thing,1
Rise of the Guardians,1
Nobody,1
Pitch Perfect,1
The Irishman,1
Lion,1
The Intern,1
Sleepy Hollow,3
The Proposal,4
Midsommar,1
Scream,3
Beetlejuice,1
The Emperor's New Groove,2
